Age,Sex,Mortality,LifeExpectancy
0,M,0.007379,75.38
1,M,0.000494,74.94
2,M,0.000317,73.98
3,M,0.000241,73
4,M,0.0002,72.02
5,M,0.000179,71.03
6,M,0.000166,70.04
7,M,0.000152,69.05
8,M,0.000133,68.06
9,M,0.000108,67.07
10,M,0.000089,66.08
11,M,0.000094,65.09
12,M,0.000145,64.09
13,M,0.000252,63.1
14,M,0.000401,62.12
15,M,0.000563,61.14
16,M,0.000719,60.18
17,M,0.000873,59.22
18,M,0.001017,58.27
19,M,0.001148,57.33
20,M,0.001285,56.4
21,M,0.001412,55.47
22,M,0.001493,54.54
23,M,0.001513,53.63
24,M,0.001487,52.71
25,M,0.001446,51.78
26,M,0.001412,50.86
27,M,0.001389,49.93
28,M,0.001388,49
29,M,0.001405,48.07
30,M,0.001428,47.13
31,M,0.001453,46.2
32,M,0.001487,45.27
33,M,0.001529,44.33
34,M,0.001584,43.4
35,M,0.001651,42.47
36,M,0.001737,41.54
37,M,0.001845,40.61
38,M,0.001979,39.68
39,M,0.00214,38.76
40,M,0.002323,37.84
41,M,0.002526,36.93
42,M,0.00275,36.02
43,M,0.002993,35.12
44,M,0.003257,34.22
45,M,0.003543,33.33
46,M,0.003856,32.45
47,M,0.004208,31.57
48,M,0.004603,30.71
49,M,0.005037,29.84
50,M,0.005512,28.99
51,M,0.006008,28.15
52,M,0.0065,27.32
53,M,0.006977,26.49
54,M,0.007456,25.68
55,M,0.007975,24.87
56,M,0.008551,24.06
57,M,0.009174,23.26
58,M,0.009848,22.48
59,M,0.010584,21.69
60,M,0.011407,20.92
61,M,0.012315,20.16
62,M,0.013289,19.4
63,M,0.014326,18.66
64,M,0.015453,17.92
65,M,0.016723,17.19
66,M,0.018154,16.48
67,M,0.019732,15.77
68,M,0.021468,15.08
69,M,0.023387,14.4
70,M,0.025579,13.73
71,M,0.028032,13.08
72,M,0.030665,12.44
73,M,0.033467,11.82
74,M,0.036519,11.21
75,M,0.04001,10.62
76,M,0.043987,10.04
77,M,0.048359,9.48
78,M,0.05314,8.94
79,M,0.058434,8.41
80,M,0.064457,7.9
81,M,0.071259,7.41
82,M,0.078741,6.94
83,M,0.086923,6.49
84,M,0.095935,6.06
85,M,0.105937,5.65
86,M,0.117063,5.26
87,M,0.129407,4.89
88,M,0.143015,4.55
89,M,0.157889,4.22
90,M,0.174013,3.92
91,M,0.191354,3.64
92,M,0.209867,3.38
93,M,0.229502,3.15
94,M,0.250198,2.93
95,M,0.27075,2.75
96,M,0.290814,2.58
97,M,0.310029,2.44
98,M,0.328021,2.3
99,M,0.344422,2.19
100,M,0.361644,2.07
101,M,0.379726,1.96
102,M,0.398712,1.85
103,M,0.418648,1.75
104,M,0.43958,1.66
105,M,0.461559,1.56
106,M,0.484637,1.47
107,M,0.508869,1.39
108,M,0.534312,1.3
109,M,0.561028,1.22
110,M,0.589079,1.15
111,M,0.618533,1.07
112,M,0.64946,1
113,M,0.681933,0.94
114,M,0.716029,0.87
115,M,0.751831,0.81
116,M,0.789422,0.75
117,M,0.828894,0.7
118,M,0.870338,0.64
119,M,0.913855,0.59
0,F,0.006096,80.43
1,F,0.000434,79.92
2,F,0.000256,78.95
3,F,0.000192,77.97
4,F,0.000148,76.99
5,F,0.000136,76
6,F,0.000128,75.01
7,F,0.000122,74.02
8,F,0.000115,73.03
9,F,0.000106,72.04
10,F,0.0001,71.04
11,F,0.000102,70.05
12,F,0.00012,69.06
13,F,0.000157,68.07
14,F,0.000209,67.08
15,F,0.000267,66.09
16,F,0.000323,65.11
17,F,0.000369,64.13
18,F,0.000401,63.15
19,F,0.000422,62.18
20,F,0.000441,61.2
21,F,0.000463,60.23
22,F,0.000483,59.26
23,F,0.000499,58.29
24,F,0.000513,57.32
25,F,0.000528,56.35
26,F,0.000544,55.38
27,F,0.000563,54.4
28,F,0.000585,53.44
29,F,0.000612,52.47
30,F,0.000642,51.5
31,F,0.000678,50.53
32,F,0.000721,49.56
33,F,0.000771,48.6
34,F,0.00083,47.64
35,F,0.000896,46.68
36,F,0.000971,45.72
37,F,0.001056,44.76
38,F,0.001153,43.81
39,F,0.00126,42.86
40,F,0.001377,41.91
41,F,0.001506,40.97
42,F,0.00165,40.03
43,F,0.00181,39.1
44,F,0.001985,38.17
45,F,0.002174,37.24
46,F,0.002375,36.32
47,F,0.002582,35.41
48,F,0.002794,34.5
49,F,0.003012,33.59
50,F,0.003255,32.69
51,F,0.003517,31.8
52,F,0.003782,30.91
53,F,0.004045,30.02
54,F,0.004318,29.14
55,F,0.004619,28.27
56,F,0.004965,27.4
57,F,0.005366,26.53
58,F,0.00583,25.67
59,F,0.006358,24.82
60,F,0.006961,23.97
61,F,0.007624,23.14
62,F,0.008322,22.31
63,F,0.009046,21.49
64,F,0.009822,20.69
65,F,0.010698,19.89
66,F,0.011702,19.1
67,F,0.012832,18.32
68,F,0.014103,17.55
69,F,0.015526,16.79
70,F,0.017163,16.05
71,F,0.018987,15.32
72,F,0.020922,14.61
73,F,0.022951,13.91
74,F,0.025147,13.22
75,F,0.027709,12.55
76,F,0.030659,11.9
77,F,0.033861,11.26
78,F,0.037311,10.63
79,F,0.041132,10.03
80,F,0.045561,9.43
81,F,0.050698,8.86
82,F,0.056486,8.31
83,F,0.062971,7.77
84,F,0.070259,7.26
85,F,0.078471,6.77
86,F,0.087713,6.31
87,F,0.098064,5.87
88,F,0.109578,5.45
89,F,0.122283,5.06
90,F,0.13619,4.69
91,F,0.1513,4.36
92,F,0.167602,4.04
93,F,0.185078,3.76
94,F,0.2037,3.5
95,F,0.222541,3.26
96,F,0.241317,3.05
97,F,0.259716,2.87
98,F,0.277409,2.7
99,F,0.294054,2.54
100,F,0.311697,2.39
101,F,0.330399,2.25
102,F,0.350223,2.11
103,F,0.371236,1.98
104,F,0.39351,1.86
105,F,0.417121,1.74
106,F,0.442148,1.62
107,F,0.468677,1.52
108,F,0.496798,1.41
109,F,0.526605,1.31
110,F,0.558202,1.22
111,F,0.591694,1.13
112,F,0.627196,1.05
113,F,0.664827,0.97
114,F,0.704717,0.89
115,F,0.747,0.82
116,F,0.789422,0.75
117,F,0.828894,0.7
118,F,0.870338,0.64
119,F,0.913855,0.59