year,population
113,316.16
112,313.91
111,311.59
110,309.35
109,306.77
108,304.09
107,301.23
106,298.38
105,295.52
104,292.81
103,290.11
102,287.63
101,284.97
100,282.16
99,279.04
98,275.85
97,272.65
96,269.39
95,266.28
94,263.13
93,259.92
92,256.51
91,252.98
90,249.62
89,246.82
88,244.5
87,242.29
86,240.13
85,237.92
84,235.83
83,233.79
82,231.66
81,229.47
80,227.23
79,225.06
78,222.59
77,220.24
76,218.04
75,215.97
74,213.85
73,211.91
72,209.9
71,207.66
70,205.05
69,202.68
68,200.71
67,198.71
66,196.56
65,194.3
64,191.89
63,189.24
62,186.54
61,183.69
60,180.67
59,177.83
58,174.88
57,171.98
56,168.9
55,165.93
54,163.03
53,160.18
52,157.55
51,154.88
50,152.27
49,149.19
48,146.63
47,144.13
46,141.39
45,139.93
44,138.4
43,136.74
42,134.86
41,133.4
40,132.12
39,130.88
38,129.83
37,128.83
36,128.05
35,127.25
34,126.37
33,125.58
32,124.84
31,124.04
30,123.08
29,121.77
28,120.51
27,119.04
26,117.4
25,115.83
24,114.11
23,111.95
22,110.05
21,108.54
20,106.46
19,104.51
18,103.21
17,103.27
16,101.96
15,100.55
14,99.11
13,97.23
12,95.34
11,93.86
10,92.41
9,90.49
8,88.71
7,87.01
6,85.45
5,83.82
4,82.17
3,80.63
2,79.16
1,77.58
0,76.09