Year,Month,Day,Hour,Minute,Second,PredictedTide,VerifiedTide,ModeledTide
2012,5,23,23,54,0.,0.31,0.61,0.4300038116628574
2012,5,24,0,0,0.,0.29,0.58,0.4085869570016658
2012,5,24,0,6,0.,0.28,0.56,0.3873355547812947
2012,5,24,0,12,0.,0.26,0.55,0.3662641696512947
2012,5,24,0,18,0.,0.24,0.5,0.3453872428864948
2012,5,24,0,24,0.,0.22,0.51,0.32471908248967374
2012,5,24,0,30,0.,0.2,0.51,0.3042738533855699
2012,5,24,0,36,0.,0.19,0.5,0.2840655677129492
2012,5,24,0,42,0.,0.17,0.48,0.2641080752213853
2012,5,24,0,48,0.,0.15,0.51,0.24441505377933287
2012,5,24,0,54,0.,0.14,0.46,0.22500000000000003
2012,5,24,1,0,0.,0.12,0.48,0.20587621999144357
2012,5,24,1,6,0.,0.1,0.48,0.18705682023722708
2012,5,24,1,12,0.,0.09,0.49,0.1685546986138921
2012,5,24,1,18,0.,0.08,0.44,0.15038253555139786
2012,5,24,1,24,0.,0.06,0.45,0.13255278534258752
2012,5,24,1,30,0.,0.05,0.46,0.11507766760763816
2012,5,24,1,36,0.,0.04,0.46,0.09796915891934388
2012,5,24,1,42,0.,0.02,0.44,0.08123898459497059
2012,5,24,1,48,0.,0.01,0.42,0.06489861066030922
2012,5,24,1,54,0.,0.,0.41,0.0489592359914347
2012,5,24,2,0,0.,-0.01,0.44,0.03343178463955543
2012,5,24,2,6,0.,-0.02,0.41,0.01832689834421497
2012,5,24,2,12,0.,-0.04,0.37,0.003654929239973681
2012,5,24,2,18,0.,-0.05,0.38,-0.010574067238425133
2012,5,24,2,24,0.,-0.06,0.37,-0.024350339247549813
2012,5,24,2,30,0.,-0.07,0.35,-0.03766444521870527
2012,5,24,2,36,0.,-0.07,0.36,-0.05050726032871333
2012,5,24,2,42,0.,-0.08,0.37,-0.06286998275361044
2012,5,24,2,48,0.,-0.09,0.37,-0.07474413970097837
2012,5,24,2,54,0.,-0.1,0.33,-0.08612159321677282
2012,5,24,3,0,0.,-0.1,0.35,-0.09699454576267053
2012,5,24,3,6,0.,-0.11,0.32,-0.10735554556011262
2012,5,24,3,12,0.,-0.12,0.3,-0.11719749169738147
2012,5,24,3,18,0.,-0.12,0.31,-0.1265136389962107
2012,5,24,3,24,0.,-0.13,0.29,-0.13529760263459367
2012,5,24,3,30,0.,-0.13,0.3,-0.14354336252262145
2012,5,24,3,36,0.,-0.14,0.31,-0.15124526742835165
2012,5,24,3,42,0.,-0.14,0.33,-0.15839803885088044
2012,5,24,3,48,0.,-0.15,0.3,-0.16499677463796403
2012,5,24,3,54,0.,-0.15,0.31,-0.17103695234570793
2012,5,24,4,0,0.,-0.15,0.32,-0.176514432338025
2012,5,24,4,6,0.,-0.15,0.31,-0.18142546062373477
2012,5,24,4,12,0.,-0.16,0.29,-0.18576667142936143
2012,5,24,4,18,0.,-0.16,0.31,-0.18953508950586706
2012,5,24,4,24,0.,-0.16,0.3,-0.19272813216773876
2012,5,24,4,30,0.,-0.16,0.37,-0.19534361106303222
2012,5,24,4,36,0.,-0.16,0.26,-0.19737973367315875
2012,5,24,4,42,0.,-0.16,0.34,-0.19883510454138775
2012,5,24,4,48,0.,-0.16,0.3,-0.19970872622922364
2012,5,24,4,54,0.,-0.16,0.3,-0.19999999999999996
2012,5,24,5,0,0.,-0.16,0.27,-0.19970872622922364
2012,5,24,5,6,0.,-0.16,0.33,-0.19883510454138775
2012,5,24,5,12,0.,-0.16,0.32,-0.19737973367315875
2012,5,24,5,18,0.,-0.15,0.3,-0.19534361106303222
2012,5,24,5,24,0.,-0.15,0.31,-0.19272813216773876
2012,5,24,5,30,0.,-0.15,0.31,-0.18953508950586706
2012,5,24,5,36,0.,-0.14,0.3,-0.18576667142936143
2012,5,24,5,42,0.,-0.14,0.35,-0.18142546062373477
2012,5,24,5,48,0.,-0.13,0.34,-0.176514432338025
2012,5,24,5,54,0.,-0.13,0.32,-0.17103695234570793
2012,5,24,6,0,0.,-0.13,0.33,-0.16499677463796403
2012,5,24,6,6,0.,-0.12,0.35,-0.15839803885088044
2012,5,24,6,12,0.,-0.11,0.35,-0.15124526742835165
2012,5,24,6,18,0.,-0.11,0.35,-0.14354336252262145
2012,5,24,6,24,0.,-0.1,0.36,-0.13529760263459367
2012,5,24,6,30,0.,-0.1,0.38,-0.1265136389962107
2012,5,24,6,36,0.,-0.09,0.4,-0.11719749169738147
2012,5,24,6,42,0.,-0.08,0.41,-0.10735554556011262
2012,5,24,6,48,0.,-0.07,0.42,-0.09699454576267053
2012,5,24,6,54,0.,-0.07,0.41,-0.08612159321677282
2012,5,24,7,0,0.,-0.06,0.42,-0.07474413970097837
2012,5,24,7,6,0.,-0.05,0.44,-0.06286998275361044
2012,5,24,7,12,0.,-0.04,0.42,-0.05050726032871333
2012,5,24,7,18,0.,-0.03,0.42,-0.03766444521870527
2012,5,24,7,24,0.,-0.02,0.45,-0.024350339247549813
2012,5,24,7,30,0.,-0.01,0.45,-0.010574067238425133
2012,5,24,7,36,0.,0.,0.44,0.003654929239973681
2012,5,24,7,42,0.,0.01,0.47,0.01832689834421497
2012,5,24,7,48,0.,0.03,0.47,0.03343178463955543
2012,5,24,7,54,0.,0.04,0.52,0.0489592359914347
2012,5,24,8,0,0.,0.05,0.49,0.06489861066030922
2012,5,24,8,6,0.,0.06,0.52,0.08123898459497059
2012,5,24,8,12,0.,0.07,0.54,0.09796915891934388
2012,5,24,8,18,0.,0.09,0.55,0.11507766760763816
2012,5,24,8,24,0.,0.1,0.56,0.13255278534258752
2012,5,24,8,30,0.,0.11,0.61,0.15038253555139786
2012,5,24,8,36,0.,0.13,0.55,0.1685546986138921
2012,5,24,8,42,0.,0.14,0.6,0.18705682023722708
2012,5,24,8,48,0.,0.15,0.63,0.20587621999144357
2012,5,24,8,54,0.,0.17,0.63,0.22500000000000003
2012,5,24,9,0,0.,0.19,0.64,0.24441505377933287
2012,5,24,9,6,0.,0.2,0.65,0.2641080752213853
2012,5,24,9,12,0.,0.22,0.67,0.2840655677129492
2012,5,24,9,18,0.,0.23,0.65,0.3042738533855699
2012,5,24,9,24,0.,0.25,0.66,0.32471908248967374
2012,5,24,9,30,0.,0.27,0.68,0.3453872428864948
2012,5,24,9,36,0.,0.28,0.73,0.3662641696512947
2012,5,24,9,42,0.,0.3,0.72,0.3873355547812947
2012,5,24,9,48,0.,0.31,0.73,0.4085869570016658
2012,5,24,9,54,0.,0.33,0.75,0.4300038116628574
2012,5,24,10,0,0.,0.35,0.72,0.45157144072248045
2012,5,24,10,6,0.,0.37,0.75,0.4732750628049046
2012,5,24,10,12,0.,0.38,0.78,0.4950998033316747
2012,5,24,10,18,0.,0.4,0.79,0.5170307047158038
2012,5,24,10,24,0.,0.42,0.76,0.5390527366129562
2012,5,24,10,30,0.,0.44,0.81,0.5611508062224946
2012,5,24,10,36,0.,0.46,0.83,0.5833097686313318
2012,5,24,10,42,0.,0.48,0.85,0.6055144371934977
2012,5,24,10,48,0.,0.5,0.85,0.6277495939383079
2012,5,24,10,54,0.,0.52,0.89,0.65
2012,5,24,11,0,0.,0.53,0.87,0.6722504060616922
2012,5,24,11,6,0.,0.55,0.92,0.6944855628065023
2012,5,24,11,12,0.,0.57,0.94,0.7166902313686683
2012,5,24,11,18,0.,0.59,0.93,0.7388491937775055
2012,5,24,11,24,0.,0.61,0.95,0.7609472633870439
2012,5,24,11,30,0.,0.63,0.97,0.7829692952841962
2012,5,24,11,36,0.,0.65,0.97,0.8049001966683254
2012,5,24,11,42,0.,0.67,1.,0.8267249371950954
2012,5,24,11,48,0.,0.69,1.03,0.8484285592775196
2012,5,24,11,54,0.,0.71,1.06,0.8699961883371427
2012,5,24,12,0,0.,0.73,1.07,0.8914130429983342
2012,5,24,12,6,0.,0.75,1.11,0.9126644452187054
2012,5,24,12,12,0.,0.77,1.11,0.9337358303487053
2012,5,24,12,18,0.,0.79,1.12,0.9546127571135052
2012,5,24,12,24,0.,0.81,1.12,0.9752809175103263
2012,5,24,12,30,0.,0.83,1.15,0.9957261466144302
2012,5,24,12,36,0.,0.85,1.16,1.0159344322870507
2012,5,24,12,42,0.,0.87,1.2,1.0358919247786147
2012,5,24,12,48,0.,0.89,1.23,1.0555849462206672
2012,5,24,12,54,0.,0.91,1.22,1.075
2012,5,24,13,0,0.,0.93,1.24,1.0941237800085566
2012,5,24,13,6,0.,0.94,1.27,1.112943179762773
2012,5,24,13,12,0.,0.96,1.27,1.1314453013861079
2012,5,24,13,18,0.,0.98,1.28,1.1496174644486021
2012,5,24,13,24,0.,1.,1.29,1.1674472146574124
2012,5,24,13,30,0.,1.02,1.32,1.1849223323923619
2012,5,24,13,36,0.,1.04,1.33,1.2020308410806562
2012,5,24,13,42,0.,1.05,1.36,1.2187610154050295
2012,5,24,13,48,0.,1.07,1.36,1.235101389339691
2012,5,24,13,54,0.,1.09,1.36,1.2510407640085655
2012,5,24,14,0,0.,1.11,1.38,1.2665682153604445
2012,5,24,14,6,0.,1.12,1.4,1.2816731016557852
2012,5,24,14,12,0.,1.14,1.39,1.2963450707600264
2012,5,24,14,18,0.,1.15,1.49,1.3105740672384252
2012,5,24,14,24,0.,1.17,1.37,1.32435033924755
2012,5,24,14,30,0.,1.18,1.45,1.3376644452187052
2012,5,24,14,36,0.,1.2,1.44,1.3505072603287134
2012,5,24,14,42,0.,1.21,1.48,1.3628699827536104
2012,5,24,14,48,0.,1.23,1.5,1.3747441397009785
2012,5,24,14,54,0.,1.24,1.49,1.3861215932167728
2012,5,24,15,0,0.,1.26,1.51,1.3969945457626705
2012,5,24,15,6,0.,1.27,1.54,1.4073555455601126
2012,5,24,15,12,0.,1.28,1.53,1.4171974916973815
2012,5,24,15,18,0.,1.29,1.53,1.4265136389962108
2012,5,24,15,24,0.,1.3,1.54,1.4352976026345936
2012,5,24,15,30,0.,1.32,1.57,1.4435433625226215
2012,5,24,15,36,0.,1.33,1.58,1.4512452674283516
2012,5,24,15,42,0.,1.34,1.59,1.4583980388508806
2012,5,24,15,48,0.,1.35,1.59,1.4649967746379642
2012,5,24,15,54,0.,1.35,1.59,1.4710369523457079
2012,5,24,16,0,0.,1.36,1.59,1.476514432338025
2012,5,24,16,6,0.,1.37,1.61,1.481425460623735
2012,5,24,16,12,0.,1.38,1.61,1.4857666714293614
2012,5,24,16,18,0.,1.38,1.62,1.4895350895058672
2012,5,24,16,24,0.,1.39,1.64,1.4927281321677388
2012,5,24,16,30,0.,1.39,1.63,1.4953436110630323
2012,5,24,16,36,0.,1.4,1.59,1.4973797336731587
2012,5,24,16,42,0.,1.4,1.6,1.4988351045413877
2012,5,24,16,48,0.,1.41,1.57,1.4997087262292237
2012,5,24,16,54,0.,1.41,1.58,1.5
2012,5,24,17,0,0.,1.41,1.6,1.4997087262292237
2012,5,24,17,6,0.,1.41,1.6,1.4988351045413877
2012,5,24,17,12,0.,1.42,1.6,1.4973797336731587
2012,5,24,17,18,0.,1.42,1.61,1.4953436110630323
2012,5,24,17,24,0.,1.42,1.59,1.4927281321677388
2012,5,24,17,30,0.,1.42,1.56,1.4895350895058672
2012,5,24,17,36,0.,1.41,1.58,1.4857666714293614
2012,5,24,17,42,0.,1.41,1.54,1.481425460623735
2012,5,24,17,48,0.,1.41,1.56,1.476514432338025
2012,5,24,17,54,0.,1.41,1.56,1.4710369523457079
2012,5,24,18,0,0.,1.4,1.57,1.4649967746379642
2012,5,24,18,6,0.,1.4,1.56,1.4583980388508806
2012,5,24,18,12,0.,1.39,1.58,1.4512452674283516
2012,5,24,18,18,0.,1.39,1.58,1.4435433625226215
2012,5,24,18,24,0.,1.38,1.58,1.4352976026345936
2012,5,24,18,30,0.,1.38,1.56,1.4265136389962108
2012,5,24,18,36,0.,1.37,1.54,1.4171974916973815
2012,5,24,18,42,0.,1.36,1.54,1.4073555455601126
2012,5,24,18,48,0.,1.35,1.52,1.3969945457626705
2012,5,24,18,54,0.,1.35,1.53,1.3861215932167728
2012,5,24,19,0,0.,1.34,1.49,1.3747441397009785
2012,5,24,19,6,0.,1.33,1.47,1.3628699827536104
2012,5,24,19,12,0.,1.32,1.45,1.3505072603287134
2012,5,24,19,18,0.,1.3,1.45,1.3376644452187052
2012,5,24,19,24,0.,1.29,1.42,1.32435033924755
2012,5,24,19,30,0.,1.28,1.4,1.3105740672384252
2012,5,24,19,36,0.,1.27,1.39,1.2963450707600264
2012,5,24,19,42,0.,1.25,1.36,1.2816731016557852
2012,5,24,19,48,0.,1.24,1.38,1.2665682153604445
2012,5,24,19,54,0.,1.23,1.35,1.2510407640085655
2012,5,24,20,0,0.,1.21,1.31,1.235101389339691
2012,5,24,20,6,0.,1.2,1.35,1.2187610154050295
2012,5,24,20,12,0.,1.18,1.31,1.2020308410806562
2012,5,24,20,18,0.,1.16,1.26,1.1849223323923619
2012,5,24,20,24,0.,1.15,1.26,1.1674472146574124
2012,5,24,20,30,0.,1.13,1.23,1.1496174644486021
2012,5,24,20,36,0.,1.12,1.22,1.1314453013861079
2012,5,24,20,42,0.,1.1,1.2,1.112943179762773
2012,5,24,20,48,0.,1.08,1.19,1.0941237800085566
2012,5,24,20,54,0.,1.06,1.17,1.075
2012,5,24,21,0,0.,1.04,1.14,1.0555849462206672
2012,5,24,21,6,0.,1.03,1.16,1.0358919247786147
2012,5,24,21,12,0.,1.01,1.12,1.0159344322870507
2012,5,24,21,18,0.,0.99,1.08,0.9957261466144302
2012,5,24,21,24,0.,0.97,1.08,0.9752809175103263
2012,5,24,21,30,0.,0.95,1.04,0.9546127571135052
2012,5,24,21,36,0.,0.93,1.02,0.9337358303487053
2012,5,24,21,42,0.,0.91,1.,0.9126644452187054
2012,5,24,21,48,0.,0.89,0.96,0.8914130429983342
2012,5,24,21,54,0.,0.87,0.96,0.8699961883371427
2012,5,24,22,0,0.,0.85,0.93,0.8484285592775196
2012,5,24,22,6,0.,0.83,0.93,0.8267249371950954
2012,5,24,22,12,0.,0.81,0.9,0.8049001966683254
2012,5,24,22,18,0.,0.79,0.88,0.7829692952841962
2012,5,24,22,24,0.,0.76,0.86,0.7609472633870439
2012,5,24,22,30,0.,0.74,0.85,0.7388491937775055
2012,5,24,22,36,0.,0.73,0.82,0.7166902313686683
2012,5,24,22,42,0.,0.7,0.8,0.6944855628065023
2012,5,24,22,48,0.,0.68,0.76,0.6722504060616922
2012,5,24,22,54,0.,0.66,0.76,0.65
2012,5,24,23,0,0.,0.64,0.74,0.6277495939383079
2012,5,24,23,6,0.,0.62,0.73,0.6055144371934977
2012,5,24,23,12,0.,0.6,0.73,0.5833097686313318
2012,5,24,23,18,0.,0.58,0.73,0.5611508062224946
2012,5,24,23,24,0.,0.56,0.71,0.5390527366129562
2012,5,24,23,30,0.,0.54,0.7,0.5170307047158038
2012,5,24,23,36,0.,0.52,0.69,0.4950998033316747
2012,5,24,23,42,0.,0.5,0.67,0.4732750628049046
2012,5,24,23,48,0.,0.48,0.65,0.45157144072248045
2012,5,24,23,54,0.,0.46,0.61,0.4300038116628574